date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,competition_weight
2010-01-01,Madagascar,Oman,0,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-01,Hungary,USA,1,1,International Friendly,Neutral,Neutral,False,0.3
2010-01-03,Switzerland,Bermuda,2,1,International Friendly,Neutral,Neutral,False,0.3
2010-01-03,Tanzania,DR Congo,1,1,International Friendly,Neutral,Neutral,False,0.3
2010-01-03,Czech Republic,Tajikistan,2,1,International Friendly,Neutral,Neutral,False,0.3
2010-01-03,Chad,Guinea-Bissau,2,3,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-04,New Zealand,Thailand,2,2,FIFA World Cup,Neutral,Neutral,True,1.0
2010-01-04,Panama,Honduras,1,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-04,Slovenia,Slovakia,2,0,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-07,Ukraine,DR Congo,1,2,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-07,South Sudan,Ghana,0,0,UEFA European Championship,Neutral,Neutral,False,0.8
2010-01-08,Belgium,Panama,2,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-08,Denmark,Togo,3,2,International Friendly,Neutral,Neutral,False,0.3
2010-01-08,Guyana,Uzbekistan,1,0,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-10,Burundi,Suriname,0,1,FIFA World Cup,Neutral,Neutral,True,1.0
2010-01-11,Ireland,Malaysia,2,2,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-11,Morocco,Netherlands,0,2,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-12,Georgia,Gibraltar,2,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-12,French Guiana,Trinidad and Tobago,1,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-13,Uruguay,Montenegro,0,0,International Friendly,Neutral,Neutral,False,0.3
2010-01-13,Costa Rica,Wales,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-13,Comoros,Kenya,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-14,Central African Republic,Angola,0,2,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-16,Australia,Equatorial Guinea,2,0,International Friendly,Neutral,Neutral,False,0.3
2010-01-18,Greece,Slovakia,1,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-20,Central African Republic,New Zealand,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-21,Liberia,Chile,0,1,FIFA World Cup,Neutral,Neutral,True,1.0
2010-01-23,DR Congo,Malta,0,1,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-24,Guinea,Cuba,1,2,FIFA World Cup,Neutral,Neutral,True,1.0
2010-01-25,Central African Republic,Guadeloupe,1,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-25,Hungary,Denmark,1,3,UEFA Nations League,Neutral,Neutral,False,0.5
2010-01-26,Armenia,China,1,0,International Friendly,Neutral,Neutral,False,0.3
2010-01-26,Turkey,Venezuela,2,1,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-27,USA,Rwanda,2,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-28,Costa Rica,Azerbaijan,1,0,International Friendly,Neutral,Neutral,False,0.3
2010-01-29,Iraq,Curaçao,1,1,FIFA World Cup,Neutral,Neutral,True,1.0
2010-01-29,Zimbabwe,Senegal,1,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-01-29,Kyrgyzstan,Northern Ireland,0,1,FIFA World Cup,Neutral,Neutral,True,1.0
2010-01-30,Belize,Moldova,2,1,International Friendly,Neutral,Neutral,False,0.3
2010-01-31,South Korea,Peru,1,1,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-01-31,Oman,Slovenia,2,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-01,Cameroon,Canada,1,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-02,Moldova,Malta,2,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-02,Andorra,Belize,2,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-03,Panama,Kosovo,2,0,International Friendly,Neutral,Neutral,False,0.3
2010-02-04,Germany,Slovakia,1,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-06,Colombia,Equatorial Guinea,2,2,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-08,Senegal,Zimbabwe,1,0,International Friendly,Neutral,Neutral,False,0.3
2010-02-08,Central African Republic,Cameroon,0,1,UEFA European Championship,Neutral,Neutral,False,0.8
2010-02-09,Denmark,Cameroon,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-10,Indonesia,Faroe Islands,1,1,Africa Cup of Nations,Neutral,Neutral,True,0.6
2010-02-10,Congo,Gibraltar,2,1,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-02-11,Oman,New Zealand,0,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-12,DR Congo,Estonia,1,2,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-13,Bahrain,Andorra,0,1,Africa Cup of Nations,Neutral,Neutral,True,0.6
2010-02-14,Belarus,England,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-15,Venezuela,Kosovo,2,1,FIFA World Cup,Neutral,Neutral,True,1.0
2010-02-16,Denmark,Togo,4,0,CONCACAF Gold Cup,Neutral,Neutral,True,0.55
2010-02-19,Bosnia-Herzegovina,Portugal,0,2,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-02-19,Malta,French Guiana,1,1,AFC Asian Cup,Neutral,Neutral,True,0.6
2010-02-20,Japan,Moldova,3,0,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-02-21,Estonia,Suriname,3,1,Africa Cup of Nations,Neutral,Neutral,True,0.6
2010-02-22,Japan,Gambia,1,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-22,Japan,China,2,0,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-02-22,Kosovo,Mauritius,1,1,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-02-26,Malta,Panama,2,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-02-27,El Salvador,Rwanda,2,1,International Friendly,Neutral,Neutral,False,0.3
2010-02-28,Luxembourg,Bermuda,0,0,UEFA European Championship,Neutral,Neutral,False,0.8
2010-03-01,Scotland,Sweden,2,3,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-03-02,Bahamas,Croatia,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-03-02,Russia,Comoros,0,3,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-03-03,Peru,Mali,0,0,FIFA World Cup,Neutral,Neutral,True,1.0
2010-03-03,Vietnam,Korea DPR,1,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-03-05,French Guiana,Central African Republic,0,1,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-03-06,Slovenia,Estonia,2,1,International Friendly,Neutral,Neutral,False,0.3
2010-03-06,Japan,Venezuela,2,1,International Friendly,Neutral,Neutral,False,0.3
2010-03-07,Nicaragua,Turkey,1,2,UEFA Euro Qualification,Neutral,Neutral,False,0.7
2010-03-08,Tanzania,Oman,1,1,FIFA World Cup,Neutral,Neutral,True,1.0
2010-03-09,Ireland,Benin,1,0,FIFA World Cup Qualification,Neutral,Neutral,False,0.9
2010-03-09,Thailand,Uganda,1,1,Africa Cup of Nations,Neutral,Neutral,True,0.6
